bus_route,bus_link,bus_name,bus_type,departing_time,duration,reaching_time,seat_available,star_rating,price
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Vibhav Holidays,A/C Sleeper (2+1),20:00,6h,02:00,12 Seats,3.0,₹549
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,zingbus plus,VE A/C Sleeper (2+1),20:00,6h 35m,02:35,7 Seats,4.8,₹655
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Sai Balaji Travels,A/C Seater / Sleeper (2+1),20:00,4h 34m,00:34,23 Seats,3.1,₹549
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Vibhav Holidays,A/C Sleeper (2+1),20:00,6h,02:00,12 Seats,3.0,₹549
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Sri KVR Travels,Non A/C Seater / Sleeper (2+1),20:00,4h 30m,00:30,15 Seats,3.9,₹450
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Vibhav Holidays,A/C Sleeper (2+1),20:00,6h,02:00,13 Seats,3.0,₹549
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Sea Bird Tourist,A/C Sleeper (2+1),20:00,6h 15m,02:15,4 Seats,3.6,"₹1,396"
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,Sri Krishna Travels,Volvo 9600 Multi-Axle A/C Sleeper (2+1),20:00,3h 45m,23:45,10 Seats,3.3,₹649
Bangalore to Tirupati,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi,VV Vinayak Travels,Non A/C Seater / Sleeper (2+1),20:00,5h 30m,01:30,22 Seats,4.0,₹400
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Royal Voyage Travels (RVT),A/C Seater / Sleeper (2+1),19:35,7h 50m,03:25,14 Seats,3.9,₹500
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Amara Tours And Travels,A/C Sleeper (2+1),19:35,7h 25m,03:00,17 Seats,3.0,₹600
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Shiva Parvathi Tours And Travels,Non A/C Seater / Sleeper (2+1),19:35,10h 15m,05:50,32 Seats,3.3,₹400
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,BHAIRAVA TOURS AND TRAVELS,Non A/C Seater / Sleeper (2+1),19:35,7h 25m,03:00,14 Seats,3.7,₹399
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Giridhar Tours and Travels,A/C Seater/Sleeper (2+1),19:35,7h 24m,02:59,19 Seats,4.3,₹640
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Shiva Parvathi Tours And Travels,Non A/C Seater / Sleeper (2+1),19:35,6h 55m,02:30,16 Seats,4.2,₹350
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Anish Travels,Non A/C Seater / Sleeper (2+1),19:40,7h 30m,03:10,12 Seats,3.2,₹315
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Sri Vinayaka Travels,NON A/C Sleeper (2+1),19:45,9h,04:45,21 Seats,3.7,₹599
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,S R Travels,Non A/C Seater / Sleeper (2+1),19:45,7h 30m,03:15,11 Seats,3.1,₹400
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Sri Vinayaka Travels,Non A/C Seater / Sleeper (2+1),19:45,7h 45m,03:30,28 Seats,4.1,₹399
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Sri Vinayaka Travels,A/C Sleeper (2+1),19:50,8h 10m,04:00,15 Seats,4.1,₹699
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,S R Travels,Non A/C Seater / Sleeper (2+1),19:55,7h 20m,03:15,16 Seats,3.3,₹400
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,CGR Travels,Non A/C Seater / Sleeper (2+1),19:55,8h 30m,04:25,8 Seats,4.1,₹350
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,V Kaveri Travels,Non A/C Seater / Sleeper (2+1),20:00,6h,02:00,18 Seats,3.6,₹400
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Sri Vengamamba Bus Transport (SVBT),Non A/C Seater / Sleeper (2+1),20:00,6h 10m,02:10,18 Seats,4.8,₹400
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,SLNS Travels,A/C Sleeper (2+1),20:00,7h 30m,03:30,15 Seats,3.2,₹699
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,SRI AVANI,Non A/C Seater / Sleeper (2+1),20:10,7h 50m,04:00,17 Seats,4.6,₹290
Bangalore to Kadapa,https://www.redbus.in/bus-tickets/bangalore-to-kadapa,Jaysri Travels,A/C Seater / Sleeper (2+1),20:10,5h 20m,01:30,15 Seats,3.2,₹474
